,Type,Start,End,Duration,Day of Week,Budget,Currency,Clicks,Impressions,Spent,CTR,CPC,CPI,Target Age,Target Gender,Username,Email,Name,Gender,Age
0,AKX,2024-10-22,2025-02-03,104,Tuesday,971058,USD,83595,500000,375512,0.16719,4.4920389975477,0.751024,35-45,M,quinnheather,james98@example.net,Tina Johnson,F,65
1,GRZ,2024-06-22,2024-07-18,26,Saturday,263398,USD,49807,500001,130683,0.09961380077239845,2.6237878209890177,0.26136547726904547,45-50,B,quinnheather,james98@example.net,Tina Johnson,F,65
2,KTR,2024-07-04,2025-09-30,453,Thursday,94544,USD,67555,499997,48797,0.135110810664864,0.7223299533713271,0.09759458556751341,30-35,F,quinnheather,james98@example.net,Tina Johnson,F,65
3,BYU,2024-04-08,2025-12-31,632,Monday,336858,GBP,61383,499998,6465,0.12276649106596427,0.10532232051219392,0.012930051720206882,30-45,M,quinnheather,james98@example.net,Tina Johnson,F,65
4,GRZ,2024-11-11,2026-04-09,514,Monday,499286,EUR,43458,499999,132805,0.08691617383234766,3.0559390676055043,0.26561053122106243,20-35,M,quinnheather,james98@example.net,Tina Johnson,F,65
5,AKX,2025-01-02,2025-03-22,79,Thursday,667182,GBP,50377,500001,25334,0.10075379849240301,0.5028882228000874,0.050667898664202675,30-50,M,quinnheather,james98@example.net,Tina Johnson,F,65
6,BYU,2024-12-14,2025-10-28,318,Saturday,876885,GBP,63622,500000,824219,0.127244,12.95493697148785,1.648438,45-65,M,quinnheather,james98@example.net,Tina Johnson,F,65
7,KTR,2025-04-25,2025-12-04,223,Friday,181868,GBP,11248,500000,3398,0.022496,0.3020981507823613,0.006796,30-55,B,whoward,powersalejandro@example.org,Sherry Bean,F,41
8,BYU,2025-03-22,2026-05-08,412,Saturday,175384,GBP,61571,499998,114911,0.12314249256997029,1.8663169349206608,0.22982291929167717,20-45,F,whoward,powersalejandro@example.org,Sherry Bean,F,41
9,GRZ,2024-09-06,2025-09-06,365,Friday,657377,GBP,68906,500004,22220,0.13781089751281989,0.322468290134386,0.04443964448284414,25-35,M,wbecker,kathleen21@example.org,Ariel Love,F,41
10,AKX,2023-11-05,2024-01-07,63,Sunday,247526,GBP,75757,500000,109960,0.151514,1.4514830312710376,0.21992,40-65,B,wbecker,kathleen21@example.org,Ariel Love,F,41
11,GRZ,2025-05-01,2025-11-13,196,Thursday,462432,GBP,6724,500002,13490,0.013447946208215168,2.006246281975015,0.026979892080431677,40-55,B,wbecker,kathleen21@example.org,Ariel Love,F,41
12,AKX,2024-08-30,2026-03-01,548,Friday,479070,EUR,11887,499998,104049,0.023774095096380385,8.753175738201396,0.20809883239532959,20-30,F,wbecker,kathleen21@example.org,Ariel Love,F,41
13,AKX,2023-11-13,2025-04-06,510,Monday,815039,EUR,31153,500000,106133,0.062306,3.4068308028119283,0.212266,35-40,B,bakernicholas,lgarcia@example.com,Rickey Ochoa,M,66
14,BYU,2024-07-12,2025-04-09,271,Friday,169775,EUR,37915,500000,156315,0.07583,4.122774627456152,0.31263,35-40,B,bakernicholas,lgarcia@example.com,Rickey Ochoa,M,66
15,BYU,2025-02-23,2026-05-12,443,Sunday,451347,GBP,17784,500003,386785,0.03556778659328044,21.7490440845704,0.7735653586078484,30-50,F,bakernicholas,lgarcia@example.com,Rickey Ochoa,M,66
16,KTR,2024-01-17,2024-04-22,96,Wednesday,415088,USD,93620,500001,56640,0.18723962552074896,0.6049989318521684,0.11327977344045312,20-25,B,jensenaaron,sandra23@example.com,Marilyn Riley,F,68
17,AKX,2024-11-18,2025-11-28,375,Monday,121407,USD,25571,500000,85803,0.051142,3.35548081811427,0.171606,30-45,M,jensenaaron,sandra23@example.com,Marilyn Riley,F,68
18,KTR,2025-09-11,2025-12-08,88,Thursday,955036,EUR,42571,500000,424462,0.085142,9.970684268633576,0.848924,40-45,B,jensenaaron,sandra23@example.com,Marilyn Riley,F,68
19,BYU,2025-08-16,2026-11-25,466,Saturday,967257,EUR,36716,499999,490315,0.07343214686429372,13.354259723281404,0.9806319612639225,40-60,F,jensenaaron,sandra23@example.com,Marilyn Riley,F,68
